dataset,image_path,mse,ssim
Chilli_Leaves,unknown_11,0.13244783878326416,0.29647234082221985
Chilli_Leaves,unknown_12,0.05171312391757965,0.7040912508964539
Chilli_Leaves,unknown_13,0.16111725568771362,0.3355480432510376
Chilli_Leaves,unknown_14,0.09365413337945938,0.3708583414554596
Chilli_Leaves,unknown_15,0.053616996854543686,0.677960216999054
Chilli_Leaves,unknown_0,0.1103668138384819,0.36156782507896423
Chilli_Leaves,unknown_1,0.036501672118902206,0.601565420627594
Chilli_Leaves,unknown_2,0.03443817049264908,0.5996851325035095
Chilli_Leaves,unknown_3,0.07868383824825287,0.6191654801368713
Chilli_Leaves,unknown_4,0.04807738959789276,0.7061764597892761
Chilli_Leaves,unknown_5,0.06967579573392868,0.6574681997299194
Chilli_Leaves,unknown_6,0.04401375353336334,0.7291512489318848
Chilli_Leaves,unknown_7,0.0786857008934021,0.6152656674385071
Chilli_Leaves,unknown_8,0.059446241706609726,0.6665880084037781
Chilli_Leaves,unknown_9,0.07793919742107391,0.39299508929252625
Chilli_Leaves,unknown_10,0.09682820737361908,0.5807680487632751
Chilli_Leaves,unknown_11,0.1199859008193016,0.31727251410484314
Chilli_Leaves,unknown_12,0.12489020824432373,0.29490283131599426
Chilli_Leaves,unknown_13,0.0401952899992466,0.6085002422332764
Chilli_Leaves,unknown_14,0.1948462873697281,0.2765449583530426
Chilli_Leaves,unknown_15,0.1745614856481552,0.260683536529541
Chilli_Leaves,unknown_0,0.11968933790922165,0.28698015213012695
Chilli_Leaves,unknown_1,0.06347798556089401,0.6453823447227478
Chilli_Leaves,unknown_2,0.19143041968345642,0.2626281976699829
Chilli_Leaves,unknown_3,0.12537521123886108,0.3039184510707855
Chilli_Leaves,unknown_4,0.05700825899839401,0.537412703037262
Chilli_Leaves,unknown_5,0.0632072389125824,0.675616979598999
Chilli_Leaves,unknown_6,0.10999738425016403,0.3194156587123871
Chilli_Leaves,unknown_7,0.09573789685964584,0.34193143248558044
Chilli_Leaves,unknown_8,0.11504445225000381,0.30015143752098083
Chilli_Leaves,unknown_9,0.08273229002952576,0.41575169563293457
Chilli_Leaves,unknown_10,0.10427616536617279,0.31016942858695984
Chilli_Leaves,unknown_11,0.06582283973693848,0.4136074483394623
Chilli_Leaves,unknown_12,0.12648338079452515,0.3203795850276947
Chilli_Leaves,unknown_13,0.08834733814001083,0.3368333876132965
Chilli_Leaves,unknown_14,0.0950738713145256,0.2697145342826843
Chilli_Leaves,unknown_15,0.07978972792625427,0.31960776448249817
Chilli_Leaves,unknown_0,0.09459973871707916,0.34064173698425293
Chilli_Leaves,unknown_1,0.12601304054260254,0.34103497862815857
Chilli_Leaves,unknown_2,0.09202787280082703,0.26332297921180725
Chilli_Leaves,unknown_3,0.09083260595798492,0.3486056327819824
Chilli_Leaves,unknown_4,0.08032280206680298,0.34455493092536926
Chilli_Leaves,unknown_5,0.07696162164211273,0.3065032660961151
Chilli_Leaves,unknown_6,0.1052832081913948,0.3633834421634674
Chilli_Leaves,unknown_7,0.04900812730193138,0.33798161149024963
Chilli_Leaves,unknown_8,0.09944462776184082,0.3386034071445465
Chilli_Leaves,unknown_9,0.13965003192424774,0.2820534408092499
Chilli_Leaves,unknown_10,0.13622625172138214,0.3081831634044647
Chilli_Leaves,unknown_11,0.05226604640483856,0.5471152067184448
Chilli_Leaves,unknown_12,0.07503319531679153,0.2763153314590454
Chilli_Leaves,unknown_13,0.11269275099039078,0.31361234188079834
Chilli_Leaves,unknown_14,0.040349289774894714,0.6035898923873901
Chilli_Leaves,unknown_15,0.07379554212093353,0.28510475158691406
Chilli_Leaves,unknown_0,0.11493463814258575,0.2945752441883087
Chilli_Leaves,unknown_1,0.08687860518693924,0.26649215817451477
Chilli_Leaves,unknown_2,0.06267525255680084,0.28831228613853455
Chilli_Leaves,unknown_3,0.10196416825056076,0.3229559659957886
Chilli_Leaves,unknown_4,0.08938413113355637,0.2695246934890747
Chilli_Leaves,unknown_5,0.07152348756790161,0.28901347517967224
Chilli_Leaves,unknown_6,0.08986098319292068,0.37527546286582947
Chilli_Leaves,unknown_7,0.06565030664205551,0.36476191878318787
Chilli_Leaves,unknown_8,0.08894848078489304,0.3560841977596283
Chilli_Leaves,unknown_9,0.08344412595033646,0.3931730091571808
Chilli_Leaves,unknown_10,0.06151118129491806,0.2947489321231842
Chilli_Leaves,unknown_11,0.07869125157594681,0.3555457592010498
Chilli_Leaves,unknown_12,0.11843588203191757,0.3199332654476166
Chilli_Leaves,unknown_13,0.08633683621883392,0.37408140301704407
Chilli_Leaves,unknown_14,0.08167752623558044,0.2823612689971924
Chilli_Leaves,unknown_15,0.0863647386431694,0.36866092681884766
Chilli_Leaves,unknown_0,0.12348155677318573,0.31352147459983826
Chilli_Leaves,unknown_1,0.07785943150520325,0.2976807951927185
Chilli_Leaves,unknown_2,0.12207204103469849,0.2605927288532257
Chilli_Leaves,unknown_3,0.08642657101154327,0.37890490889549255
Chilli_Leaves,unknown_4,0.04773305729031563,0.3695211112499237
Chilli_Leaves,unknown_5,0.09982512891292572,0.33728501200675964
